Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,,,3 x Power Supply,"$1,425.00 ",,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,"$1,437.50 ",,,
,,,Electrical,,,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO UNO R3,$20.45 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$90.43 ,,,
,,,Frame,,,,,
,,,,Plasma Tube 6x48,"$2,315.00 ",,,
,,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,,Crackle Tube,"$3,420.00 ",,,
,,,,36 in. x 72 in. x .220 in. Acrylic Sheet,$136.00 ,,,
,,,,4 x 2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$7.28 ,,,
,,,,Lightning Tube 6x48,"$2,200.00 ",,,
,,,,2x10,$29.77 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,"$8,196.74 ",,,
,,,Paint,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,TOTAL,"$9,737.17 ",,,,
,,Infinity Mirrors,,,,,,We could get by with only one rather then two of these.
,,,Frame,,,,,
,,,,2 x GODMORGON Mirror,$99.98 ,,,
,,,,9 ft. 100 lb. Stainless Steel Hanging Wire,$4.48 ,,,
,,,,24 in. x 3/4 in. x 24 in. Plain Expanded Metal Sheet,$19.97 ,,,
,,,,2 x BDF S05 Window Film Daytime Privacy One Way Mirror Silver,$79.98 ,,,
,,,,2 x 2 in. x 4 in. x 96 in. Premium Kiln-Dried Whitewood Stud,$5.74 ,,,
,,,,2 x 36 in. x 48 in. x .093 in. Acrylic Sheet,$89.46 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$349.61 ,,,
,,,Electrical,,,,,
,,,,2 x LE 12V LED Strip Light,$19.00 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$44.00 ,,,
,,,Paint,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Grate,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Step Indicator,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,TOTAL,$468.61 ,,,,
,,Start Chart TV,,,,,,We could make this a print poster rather then a tv. That would cut about $300
,,,Animation,,,,,
,,,,7 x Man Hours,$87.50 ,,,
,,,,TOTAL,$87.50 ,,,
,,,Frame,,,,,
,,,,3 x 2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$5.46 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$55.46 ,,,
,,,Electrical,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Paint,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,Mount Television,,,,,
,,,,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED,$25.00 ,,,
,,,,36 in. x 72 in. x .220 in. Acrylic Sheet,$136.00 ,,,
,,,,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV,$329.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$528.49 ,,,
,,,TOTAL,$733.95 ,,,,
,,Window,,,,,,"Cool astetic, not needed."
,,,Frame,,,,,
,,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED,$25.00 ,,,
,,,,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV,$329.99 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$407.73 ,,,
,,,Animation,,,,,
,,,,10 x Man Hours,$125.00 ,,,
,,,,TOTAL,$125.00 ,,,
,,,Electrical,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,Paint,,,,,
,,,,3 x Man Hours,$37.50 ,,,
